M/N,"Time, sec",Algorithm
0.1666,195,BPDb8
0.1666,250,BP
0.1666,250,TV
0.1666,275,BPSA
0.1666,490,RWBP
0.1666,490,RWTV
0.1666,510,RWBPDb8
0.1666,510,SARA
0.333,150,BP
0.333,200,BPDb8
0.333,250,BPSA
0.333,300,TV
0.333,510,RWBPDb8
0.333,800,RWBP
0.333,750,RWTV
0.333,755,SARA
0.6667,150,BPDb8
0.6667,150,BPSA
0.6667,300,BP
0.6667,510,TV
0.6667,600,SARA
0.6667,800,RWTV
0.6667,790,RWBP
0.6667,1000,RWBPDb8
0.8333,200,BPDb8
0.8333,250,BPSA
0.8333,270,BP
0.8333,450,TV
0.8333,800,SARA
0.8333,900,RWBP
0.8333,1000,RWTV
0.8333,1200,RWBPDb8
1,260,BP
1,260,BPSA
1,260,BPDb8
1,250,TV
1,950,RWTV
1,1000,SARA
1,1025,RWBP
1,1600,RWBPDb8
1.16667,300,BP
1.16667,300,BPSA
1.16667,300,BPDb8
1.16667,400,TV
1.16667,1350,SARA
1.16667,1355,RWBP
1.16667,1345,RWTV
1.16667,2300,RWBPDb8
1.333,400,BP
1.333,400,BPSA
1.333,400,BPDb8
1.333,400,TV
1.333,1400,RWBP
1.333,1500,SARA
1.333,1410,RWTV
1.333,2750,RWBPDb8
1.6667,450,BP
1.6667,450,BPSA
1.6667,450,BPDb8
1.6667,450,TV
1.6667,1500,RWBP
1.6667,1505,RWTV
1.6667,1600,SARA
1.6667,2455,RWBPDb8
1.8333,500,BP
1.8333,500,BPSA
1.8333,500,BPDb8
1.8333,500,TV
1.8333,1250,RWBP
1.8333,1750,SARA
1.8333,1850,RWTV
1.8333,2700,RWBPDb8
2,510,BP
2,510,BPSA
2,510,BPDb8
2,510,TV
2,1600,RWBP
2,2000,SARA
2,2100,RWTV
2,3100,RWBPDb8